代號,股票名稱,發放期間,所屬期間,現金股利,股票股利,現金殖利率,除息日昨收價,除息日,除權日,現金股利發放日,股票股利發放日,填息天數
0050,元大台灣50,2024,,3.00,-,2.28%,,,,,,
0050,元大台灣50,,2023H2,3.00,-,2.28%,131.65,2024/01/17,-,2024/02/21,-,3
0050,元大台灣50,2023,,4.50,-,3.41%,,,,,,
0050,元大台灣50,,2023H1,1.90,-,1.44%,132.00,2023/07/18,-,2023/08/11,-,87
0050,元大台灣50,,2022H2,2.60,-,2.20%,-,2023/01/30,-,2023/03/07,-,1
0050,元大台灣50,2022,,5.00,-,4.33%,,,,,,
0050,元大台灣50,,2022H1,1.80,-,1.56%,115.50,2022/07/18,-,2022/08/19,-,4
0050,元大台灣50,,2021H2,3.20,-,2.15%,149.10,2022/01/21,-,2022/03/04,-,-
0050,元大台灣50,2021,,3.40,-,2.48%,,,,,,
0050,元大台灣50,,2021H1,0.35,-,0.26%,137.20,2021/07/21,-,2021/08/24,-,2
0050,元大台灣50,,2020H2,3.05,-,2.13%,143.00,2021/01/22,-,2021/03/09,-,226
0050,元大台灣50,2020,,3.60,-,3.71%,,,,,,
0050,元大台灣50,,2020H1,0.70,-,0.72%,97.05,2020/07/21,-,2020/08/24,-,1
0050,元大台灣50,,2019H2,2.90,-,3.15%,92.15,2020/01/31,-,2020/03/06,-,5
0050,元大台灣50,2019,,3.00,-,3.63%,,,,,,
0050,元大台灣50,,2019H1,0.70,-,0.85%,82.70,2019/07/19,-,2019/08/22,-,1
0050,元大台灣50,,2018H2,2.30,-,3.01%,76.50,2019/01/22,-,2019/03/08,-,16
0050,元大台灣50,2018,,2.90,-,3.43%,,,,,,
0050,元大台灣50,,2018H1,0.70,-,0.83%,84.65,2018/07/23,-,2018/08/27,-,2
0050,元大台灣50,,2017H2,2.20,-,2.51%,87.50,2018/01/29,-,2018/03/13,-,143
0050,元大台灣50,2017,,2.40,-,2.92%,,,,,,
0050,元大台灣50,,2017H1,0.70,-,0.85%,82.10,2017/07/31,-,2017/08/31,-,3
0050,元大台灣50,,2016H2,1.70,-,2.32%,73.30,2017/02/08,-,2017/03/14,-,6
0050,元大台灣50,2016,,0.85,-,1.22%,,,,,,
0050,元大台灣50,,2016H1,0.85,-,1.22%,69.70,2016/07/28,-,2016/08/30,-,8
0050,元大台灣50,2015,,2.00,-,3.03%,,,,,,
0050,元大台灣50,,2015H1,2.00,-,3.03%,65.90,2015/10/26,-,2015/11/26,-,168
