行業類別,比重(%)
半導體業,7.09%
化學工業,6.09%
其他產業,4.05%
綠能環保,3.67%
電腦及週邊設備業,3.55%
其餘行業 - 電器電纜,3.49%
其餘行業 - 居家生活,3.24%
其餘行業 - 電子通路業,3.20%
其餘行業 - 金融保險,3.18%
其餘行業 - 電子零組件業,3.14%
其餘行業 - 資訊服務業,3.13%
其餘行業 - 電機機械,3.09%
其餘行業 - 生技醫療業,3.05%
其餘行業 - 橡膠工業,3.01%
其餘行業 - 汽車工業,2.99%
其餘行業 - 紡織纖維,2.98%
其餘行業 - 觀光餐旅,2.95%
其餘行業 - 食品工業,2.90%
其餘行業 - 貿易百貨,2.83%
其餘行業 - 航運業,2.80%
其餘行業 - 水泥工業,2.77%
其餘行業 - 鋼鐵工業,2.74%
其餘行業 - 建材營造,2.72%
其餘行業 - 玻璃陶瓷,2.63%
其餘行業 - 運動休閒,2.54%
其餘行業 - 造紙工業,2.52%
其餘行業 - 油電燃氣業,2.32%
其餘行業 - 塑膠工業,2.29%
其餘行業 - 數位雲端,2.17%
