代號,股票名稱,行業類別,比重(%)
0050,元大台灣50,半導體業,61.62
0050,元大台灣50,金融保險,12.93
0050,元大台灣50,電腦及週邊設備業,5.72
0050,元大台灣50,其他電子業,4.76
0050,元大台灣50,電子零組件業,3.29
0050,元大台灣50,其餘行業 - 通信網路業,2.88
0050,元大台灣50,其餘行業 - 塑膠工業,2.05
0050,元大台灣50,其餘行業 - 食品工業,1.01
0050,元大台灣50,其餘行業 - 鋼鐵工業,0.85
0050,元大台灣50,其餘行業 - 其他,0.67
0050,元大台灣50,其餘行業 - 光電業,0.62
0050,元大台灣50,其餘行業 - 水泥工業,0.59
0050,元大台灣50,其餘行業 - 汽車工業,0.56
0050,元大台灣50,其餘行業 - 航運業,0.50
0050,元大台灣50,其餘行業 - 貿易百貨,0.43
0050,元大台灣50,其餘行業 - 電機機械,0.41
0050,元大台灣50,其餘行業 - 其他產業,0.30
0050,元大台灣50,其餘行業 - 油電燃氣業,0.27
0051,元大中型100,半導體業,13.69
0051,元大中型100,電子零組件業,13.27
0051,元大中型100,電腦及週邊設備業,12.60
0051,元大中型100,電機機械,7.04
0051,元大中型100,其他電子業,5.85
0051,元大中型100,其餘行業 - 航運業,5.13
0051,元大中型100,其餘行業 - 光電業,5.02
0051,元大中型100,其餘行業 - 金融保險,4.84
0051,元大中型100,其餘行業 - 電子通路業,4.35
0051,元大中型100,其餘行業 - 紡織纖維,3.99
0051,元大中型100,其餘行業 - 運動休閒,3.78
0051,元大中型100,其餘行業 - 其他產業,3.68
0051,元大中型100,其餘行業 - 其他,2.17
0051,元大中型100,其餘行業 - 汽車工業,1.79
0051,元大中型100,其餘行業 - 食品工業,1.54
0051,元大中型100,其餘行業 - 鋼鐵工業,1.53
0051,元大中型100,其餘行業 - 水泥工業,1.44
0051,元大中型100,其餘行業 - 生技醫療業,1.36
0051,元大中型100,其餘行業 - 電器電纜,1.33
0051,元大中型100,其餘行業 - 建材營造,1.28
0051,元大中型100,其餘行業 - 橡膠工業,1.15
0051,元大中型100,其餘行業 - 化學工業,1.08
0051,元大中型100,其餘行業 - 通信網路業,0.75
0051,元大中型100,其餘行業 - 居家生活,0.64
0051,元大中型100,其餘行業 - 造紙工業,0.54
0051,元大中型100,其餘行業 - 貿易百貨,0.48
0051,元大中型100,其餘行業 - 數位雲端,0.40
0051,元大中型100,其餘行業 - 玻璃陶瓷,0.30
0052,富邦科技,半導體業,75.00
0052,富邦科技,電腦及週邊設備業,9.66
0052,富邦科技,其他電子業,7.04
0052,富邦科技,其他產業,4.31
0052,富邦科技,電子零組件業,4.24
0052,富邦科技,其餘行業 - 光電業,1.92
0052,富邦科技,其餘行業 - 電子通路業,1.04
0052,富邦科技,其餘行業 - 電機機械,0.31
0053,元大電子,半導體業,61.21
0053,元大電子,電腦及週邊設備業,10.46
0053,元大電子,電子零組件業,9.71
0053,元大電子,其他電子業,6.38
0053,元大電子,通信網路業,4.91
0053,元大電子,其餘行業 - 光電業,2.50
0053,元大電子,其餘行業 - 電子通路業,1.31
0053,元大電子,其餘行業 - 其他產業,1.15
0053,元大電子,其餘行業 - 資訊服務業,0.23
0055,元大MSCI金融,金融保險,94.16
0055,元大MSCI金融,其他,5.25
0055,元大MSCI金融,其他產業,0.21
0056,元大高股息,電腦及週邊設備業,23.22
0056,元大高股息,半導體業,18.50
0056,元大高股息,金融保險,10.67
0056,元大高股息,電子零組件業,8.68
0056,元大高股息,電子通路業,7.17
0056,元大高股息,其餘行業 - 其他電子業,6.51
0056,元大高股息,其餘行業 - 光電業,3.76
