代號,股票名稱,持股票名稱,持股(%)
0050,元大台灣50,台積電,51.17
0050,元大台灣50,聯發科,4.86
0050,元大台灣50,鴻海,4.49
0050,元大台灣50,廣達,2.13
0050,元大台灣50,台達電,2.01
0050,元大台灣50,聯電,1.67
0050,元大台灣50,中信金,1.65
0050,元大台灣50,日月光投控,1.50
0050,元大台灣50,富邦金,1.47
0050,元大台灣50,中華電,1.31
0051,元大中型100,奇鋐,2.09
0051,元大中型100,技嘉,2.08
0051,元大中型100,英業達,2.05
0051,元大中型100,仁寶,2.00
0051,元大中型100,大聯大,1.90
0051,元大中型100,力成,1.84
0051,元大中型100,群光,1.83
0051,元大中型100,可成,1.78
0051,元大中型100,宏碁,1.78
0051,元大中型100,群創,1.71
0052,富邦科技,台積電,59.22
0052,富邦科技,鴻海,5.65
0052,富邦科技,聯發科,5.61
0052,富邦科技,廣達,2.47
0052,富邦科技,聯電,1.93
0052,富邦科技,日月光投控,1.74
0052,富邦科技,緯創,1.13
0052,富邦科技,聯詠,1.09
0053,元大電子,台積電,46.19
0053,元大電子,聯發科,5.03
0053,元大電子,鴻海,4.34
0053,元大電子,台達電,2.79
0053,元大電子,廣達,2.56
0053,元大電子,中華電,2.21
0053,元大電子,日月光投控,1.63
0053,元大電子,聯電,1.60
0053,元大電子,緯穎,1.01
0055,元大MSCI金融,中信金,11.74
0055,元大MSCI金融,富邦金,10.96
0055,元大MSCI金融,兆豐金,9.40
0055,元大MSCI金融,國泰金,9.33
0055,元大MSCI金融,玉山金,7.73
0055,元大MSCI金融,元大金,6.21
0055,元大MSCI金融,第一金,6.08
0055,元大MSCI金融,合庫金,5.43
0055,元大MSCI金融,中租-KY,5.31
0055,元大MSCI金融,永豐金,4.59
0056,元大高股息,聯詠,3.28
0056,元大高股息,聯發科,3.15
0056,元大高股息,和碩,2.91
0056,元大高股息,群光,2.87
0056,元大高股息,鴻海,2.87
0056,元大高股息,日月光投控,2.75
0056,元大高股息,大聯大,2.74
0056,元大高股息,聯電,2.72
0056,元大高股息,瑞昱,2.71
0056,元大高股息,力成,2.59
0057,富邦摩台,台積電,46.71
0057,富邦摩台,鴻海,4.55
0057,富邦摩台,聯發科,4.41
0057,富邦摩台,廣達,1.93
0057,富邦摩台,台達電,1.61
0057,富邦摩台,聯電,1.43
0057,富邦摩台,中信金,1.42
0057,富邦摩台,富邦金,1.32
0057,富邦摩台,日月光投控,1.20
0057,富邦摩台,中華電,1.17
0061,元大寶滬深,BOCI-PRUDENTIAL-W.I.S.E -HKD,96.72
006203,元大MSCI台灣,台積電,46.57
006203,元大MSCI台灣,鴻海,4.55
006203,元大MSCI台灣,聯發科,4.44
006203,元大MSCI台灣,廣達,1.94
006203,元大MSCI台灣,台達電,1.60
006203,元大MSCI台灣,聯電,1.43
006203,元大MSCI台灣,中信金,1.42
006203,元大MSCI台灣,富邦金,1.32
006203,元大MSCI台灣,日月光投控,1.21
006203,元大MSCI台灣,中華電,1.16
006204,永豐臺灣加權,台積電,29.91
006204,永豐臺灣加權,聯發科,3.70
006204,永豐臺灣加權,鴻海,3.62
006204,永豐臺灣加權,廣達,2.19
006204,永豐臺灣加權,中華電,1.89
006204,永豐臺灣加權,富邦金,1.72
006204,永豐臺灣加權,台達電,1.71
006204,永豐臺灣加權,聯電,1.41
006204,永豐臺灣加權,國泰金,1.38
006204,永豐臺灣加權,日月光投控,1.36
006205,富邦上証,貴州茅臺,9.13
006205,富邦上証,中國平安,3.98
006205,富邦上証,招商銀行,3.61
006205,富邦上証,紫金礦業,2.51
006205,富邦上証,長江電力,2.21
